[368009,692258] [367997,692238]
[224993,8949] [225027,9021]
[310030,617060] [309987,616917]
[352007,448149] [351925,447990]
[82990,954076] [84000,954016]
[352985,448808] [354004,448784]
[859092,998015] [858956,996996]
[288007,106174] [286996,105983]
[181965,287013] [182007,285983]
[748982,67024] [749105,65994]
[507984,299788] [509012,300040]
[436982,599933] [438035,600076]
[156013,511165] [154975,510876]
[711183,760018] [710907,758967]
[395277,197989] [394845,199001]
[23995,972066] [25006,970990]
[634000,472033] [632974,470912]
[959978,493025] [961063,491959]
[753978,383017] [755002,381873]
[650117,598000] [649963,595995]
[296009,855138] [293999,855044]
[554992,476554] [557004,476524]
[256997,652950] [259010,653043]
[349002,827133] [346990,826884]
[4836,50005] [5041,47970]
[837021,892105] [834970,891943]
[917954,371880] [920025,372088]
[264966,648954] [266047,651028]
[261043,45926] [258990,47142]
[114040,701955] [111980,704030]
[128874,111984] [131025,114038]
[403999,252996] [407011,253123]
[694025,668007] [693785,664993]
[852947,625990] [853333,629000]
[623014,915040] [619986,913967]
[209878,758077] [211037,754988]
[400942,707018] [404085,705993]
[707021,813186] [703975,811869]
[478969,358014] [482017,355971]
[219976,290106] [222034,286971]
[639161,658994] [638990,663016]
[616004,876939] [611978,877063]
[542006,537756] [537989,538141]
[975019,539042] [970999,537982]
[928022,492037] [926944,487996]
[603831,190991] [605089,195026]
[625985,627024] [629007,623996]
[330873,39947] [332263,44000]
[450012,801952] [446992,805002]
[687988,529984] [692049,532001]
[780136,578001] [777939,573995]
[544036,50054] [539958,47916]
[809999,889079] [815002,888750]
[421049,716016] [420692,710994]
[982005,328710] [976970,329070]
[586003,386039] [581996,382918]
[6062,101981] [1951,105020]
[212999,288031] [214074,282999]
[626999,323986] [628071,329020]
[641998,986046] [646147,982984]
[114008,701010] [112914,695967]
[140133,694990] [138875,700003]
[205019,783901] [199976,785043]
[795928,852023] [801005,850957]
[677951,969118] [681102,964987]
[878870,259028] [880055,253951]
[565893,487975] [567203,493026]
[713966,793050] [719036,790991]
[988112,441977] [985982,447021]
[229967,565996] [234007,570027]
[264045,648988] [259985,653002]
[811993,225970] [816022,230028]
[127968,467961] [132007,472085]
[133920,97974] [137002,103008]
[146031,690950] [140976,694011]
[858047,996021] [854999,990912]
[125984,118045] [131001,114817]
[698001,589177] [691988,588966]
[683030,990012] [682695,983995]
[620970,497943] [627003,498110]
[517009,421787] [510973,422143]
[147033,53996] [145970,60006]
[157001,430995] [150969,432063]
[680982,976989] [682173,983005]
[843047,693008] [841871,686978]
[341995,197762] [348037,199005]
[212981,288871] [219039,290043]
[959003,493917] [952972,496027]
[680003,976068] [677988,969995]
[304967,990963] [307087,997001]
[452997,741060] [455185,734995]
[868008,391963] [862968,396013]
[90994,912046] [95023,906944]
[508945,961863] [514110,966007]
[571039,500009] [567923,493967]
[157992,430795] [165009,431114]
[422004,946826] [414990,947250]
[515014,269016] [513856,261996]
[797848,202976] [799174,210019]
[722064,938063] [716941,932962]
[529981,778959] [536059,783005]
[436004,599011] [431993,592905]
[238991,423018] [246010,420965]
[278134,799001] [273991,792974]
[121978,106876] [128003,111026]
[715049,253069] [708966,248977]
[6989,101954] [14019,104092]
[593985,80018] [601051,77978]
[774982,779994] [782052,782030]
[929057,541949] [921994,544246]
[36034,547022] [28982,543998]
[911982,635079] [919024,631998]
[769970,262990] [773033,270046]
[904023,599027] [900977,591953]
[505060,593041] [497975,589985]
[422023,946054] [418964,938964]
[411000,547006] [405909,540979]
[996030,152002] [990928,145959]
[554027,476882] [548973,483003]
[823057,485973] [817932,492086]
[151930,423891] [157068,430026]
[43001,758824] [34993,759037]
[195977,485901] [204007,486214]
[260009,189959] [251974,190226]
[489004,240029] [480997,238939]
[589005,798034] [580995,796886]
[796987,312026] [798075,303995]
[343009,754980] [335980,759022]
[528127,366004] [526897,357978]
[487033,297994] [479995,302093]
[235020,833991] [230825,841014]
[997025,707023] [989990,702828]
[180997,97939] [189005,100018]
[667006,299932] [658994,302058]
[246986,420997] [255027,423111]
[895080,398024] [892982,389977]
[153963,520046] [156065,511994]
[356772,71992] [359058,80030]
[207090,495040] [204914,486971]
[475991,311001] [479023,302963]
[950017,112019] [946938,103995]
[797026,202070] [788985,198963]
[743958,439890] [752040,443007]
[287995,847982] [293046,855035]
[504002,392044] [496965,386963]
[197030,106024] [189972,100948]
[746019,538936] [740996,546072]
[247153,890045] [241997,882985]
[830032,593929] [824976,601071]
[508130,961026] [500958,955988]
[604908,503069] [610027,495947]
[595000,41439] [585999,41224]
[574996,733999] [584009,734060]
[685874,90007] [686237,80995]
[395042,197023] [386988,192963]
[492992,142042] [502010,141701]
[442991,735018] [447100,726980]
[245045,508945] [240978,517008]
[728006,893916] [718998,895099]
[709024,956925] [700984,961171]
[85006,710845] [75993,712086]
[845169,506019] [840969,497948]
[620004,497064] [610975,495836]
[778962,200135] [788026,198986]
[664005,970713] [654968,972088]
[99070,23995] [96933,33011]
[228052,580977] [221956,588017]
[939023,544124] [929969,541886]
[473093,274006] [465910,267959]
[777991,573098] [784129,565933]
[824015,601993] [818922,610010]
[51084,304990] [42990,310039]
[425989,555095] [434016,549927]
[243970,649008] [249120,640956]
[158990,22064] [168005,18847]
[50061,155017] [46908,145969]
[357015,324091] [353951,314980]
[612972,204914] [622078,208059]
[709956,956000] [714008,946964]
[176027,705018] [166985,700935]
[761956,533973] [771042,538014]
[99940,23901] [109024,28036]
[722032,938997] [714928,946008]
[360003,827434] [349997,827477]
[980997,166549] [991004,166496]
[471006,428081] [460996,428158]
[374290,20992] [373784,31002]
[79970,91963] [87068,99075]
[455070,734011] [447888,726955]
[167107,420998] [165877,431000]
[281013,827845] [270997,829003]
[903044,676042] [896980,667985]
[594002,950168] [583989,948914]
[670841,428973] [672140,439000]
[864068,407042] [862819,396993]
[857028,41833] [846981,43114]
[492034,142882] [481992,144233]
[759068,434923] [752957,443013]
[612020,204078] [605984,195922]
[895135,398997] [886999,405090]
[138993,700989] [141036,711024]
[825037,718009] [822859,707987]
[913994,75058] [924043,72924]
[113122,887980] [110968,898055]
[425004,555981] [419902,565014]
[228949,580039] [234248,570993]
[350054,150992] [339999,154005]
[287959,847008] [291085,836973]
[542966,537012] [553007,533878]
[885808,337024] [889079,326945]
[89953,503956] [97016,512024]
[940941,851058] [949046,843983]
[535052,450988] [530998,461006]
[337036,271997] [326994,276062]
[128899,111012] [137164,103991]
[265997,840005] [270093,829959]
[436007,599934] [426993,606012]
[376941,774961] [381138,785016]
[828952,851013] [838033,844954]
[728993,893041] [735016,883915]
[803055,439033] [793899,432992]
[315060,575001] [308943,565870]
[151002,423484] [139995,423550]
[985006,447994] [984790,459001]
[744997,840917] [756009,840835]
[938121,881004] [937824,869989]
[568987,797209] [580011,796946]
[191763,973994] [192599,985008]
[695908,624006] [697045,612992]
[902998,153754] [914007,155005]
[297066,416995] [295971,428035]
[850998,398077] [862027,396853]
[802230,99009] [800953,87983]
[704983,930975] [716033,932079]
[309768,616014] [311020,604977]
[262977,135013] [274004,133606]
[610029,495027] [607898,483989]
[939986,544133] [951037,541959]
[947910,124025] [950021,112955]
[724000,981845] [712988,984264]
[866122,949968] [863651,961005]
[624004,537007] [615963,528965]
[868967,391002] [877092,382992]
[366964,102085] [375082,93994]
[56990,890995] [64063,900046]
[965083,749989] [957999,759041]
[646945,982030] [654062,972982]
[337052,271038] [329951,261942]
[520970,940002] [531001,933979]
[409972,463020] [416004,452972]
[202985,634029] [213009,627957]
[828949,851976] [839015,858013]
[236993,551922] [248059,556068]
[12866,136057] [19020,125936]
[677002,969876] [664993,970307]
[978003,748805] [965983,749144]
[762662,655992] [763146,668014]
